Geneid,Int._Ctrl_#1_1,PD_126_R10_S1_1,PD_126_R11_S1_1,PD_126_R12_S1_1,PD_126_R13_S1_1,PD_126_R14_S1_1,PD_126_R15_S1_1,PD_126_R16_S1_1,PD_126_R5_S1_1,PD_126_R6_S1_1,PD_126_R7_S1_1,PD_126_R8_S1_1,PD_126_R9_S1_1,PD_131_R10_S1_1,PD_131_R10_S2_1,PD_131_R11_S1_1,PD_131_R11_S2_1,PD_131_R12_S1_1,PD_131_R12_S2_1,PD_131_R13_S1_1,PD_131_R13_S2_1,PD_131_R14_S1_1,PD_131_R15_S1_1
b3957,7.377077510706346,6.79203317568536,6.632590344340525,6.567472831476879,6.684081019276321,6.545155567037575,6.521424516027109,6.592260934618733,6.573473122431147,6.546632732968445,6.586113220812367,6.651437556712688,6.8589883221729835,6.362105286028404,6.797523139101963,4.850150167694106,5.132080828795526,5.194110115032912,5.331591968629857,5.056359873699853,5.23603741302668,5.693271207161612,6.077082100317104
b3958,7.503033012354303,7.482165935224637,6.861618467246514,6.893308973199987,6.952421305191479,6.57170701593497,6.496256750641807,6.79013070857423,6.991402636121153,6.888282375464173,6.991438408629914,7.46291907047639,7.920367088417178,5.2833396983550855,7.919816009892826,8.590789923708027,8.83678800532669,8.819480460953635,8.873036562213544,8.557116237795942,8.510527616494828,4.812085586955676,3.5490144533722927
b3959,7.040234769547206,6.933512641305875,6.584753247430622,6.8048744824325516,6.702486186394698,6.407060007106447,6.473153248315513,6.822955924391298,6.752056576670413,6.7838013767173315,6.621151688773629,7.404694528403406,7.206236664523438,5.68575828446342,8.11703041846776,8.831171069178593,9.218402786493723,9.088044574961346,9.149362457451064,8.783790779849216,8.78491458671899,5.340766706169047,4.939772645610985
b3960,6.818722868369631,7.169088195011612,6.638777597309069,6.690925859685024,6.554224655661482,6.4752892687447865,6.294699489869711,6.3977214296833225,6.764038740625445,6.58512598236929,6.623212402557099,7.09543225539447,7.397109056090196,6.51917172141191,8.002544532206553,9.389505352137569,9.492377218353127,9.549494564636351,9.492862662901548,9.203554887380138,9.26450760454455,5.534845872421421,5.42109484679054
b3961,7.099378484682417,7.257000152134794,7.1390828356885665,7.074119954381234,7.132168875528125,7.240743726353723,7.174548879620153,7.274495754579239,7.134285216411399,7.1092728971323975,7.045231344710098,7.248588352820206,7.241628557270787,6.770802885128162,5.395274310466661,7.942806211647136,7.92476521530499,8.105026545729881,8.18513898243696,8.09014354481671,8.153701533895788,7.005553741499137,6.847958492275396
b3962,7.579507544065974,9.454458400270527,9.421228820573916,9.378845460464477,9.48040709120619,9.342525876335703,9.338757855226723,9.455880410945948,9.415029503965535,9.446780854177023,9.514658315730092,9.432502613425639,9.452360767021469,8.28937122485007,7.243243970317668,5.853680096132667,5.978459362083431,5.929649189043748,6.11176595430953,5.856945812514007,5.885761400370775,9.06297425359028,8.273505951241646
b3963,6.436312624815235,7.298072057631283,7.251744473273545,7.147660096347084,7.052797872730968,7.381571454188338,7.251282757113933,7.383153671685214,7.179578054993336,7.060309870929593,7.050166609335965,7.343721782446033,7.30966116095982,7.005285048444324,6.596867541668737,5.3508363139620085,5.068705228704513,5.1422004979062645,5.391167074829967,5.372944114545292,5.500915796637897,7.234001943475317,7.274127534335624
b3964,7.3834937882829355,8.444899736360194,8.222575857153924,8.229297238290373,8.173299119246213,8.421204636337322,8.38068567710448,8.314606870542569,7.985798046104244,8.125601577571722,8.067569351055427,8.44366129720217,8.573178647107001,7.98195543307111,8.05263738922624,6.032028005090294,5.677766091441757,6.009958054034619,6.230478884752201,6.1374479234868495,5.833953713180175,7.781421521869925,7.782334722040146
b3965,6.699855188409892,6.690876346919076,6.8271286717878965,6.678409941731889,6.742072749462382,6.618513741299772,6.6163285852585645,6.582781973524046,6.794170707844382,6.725617258934492,6.728320804338813,6.688279981492319,6.741164053834497,7.389270703683055,7.051241542456155,6.282877772815055,6.309007542856509,6.3099291189447,6.229042409654258,6.331861330211646,6.325218972117554,7.066356252453994,6.923674909128436
b3966,5.683207117665428,5.982725334863193,5.9781021516615045,6.032157692877709,5.920952208670063,6.070838240844581,5.946523750311629,5.989123689346373,5.943087998022393,5.719342097233403,5.904288406617014,6.0305830435253585,6.23659868214508,5.61353898632934,5.610593096739322,4.476736026961928,4.592033123075774,4.6358990176059125,4.673504407056017,4.633205277734784,4.677162534751394,5.157464471945666,5.143155036789499
b3967,6.140382771642879,6.986629454030829,6.7972156547218034,6.691516158547482,6.783593329504056,6.757689496193596,6.81750647803576,6.898274275085301,6.652154951286624,6.73500120359111,6.740296312201085,6.757873171355574,6.835481196155284,6.522898101405523,5.453568859304942,6.195030476305948,6.300983523752373,6.535546406010298,6.740987092658736,6.541469797465176,6.448454161526967,8.067455947473473,7.902287252425277
b3972,6.4529116101096236,6.84457457534141,6.707627431048702,6.85040403823962,6.703325943496509,6.713674755972189,6.786679317133012,6.840237444603872,6.889626444194684,6.76551725029436,6.662382632641862,6.6979561352297186,6.878287379815631,6.912997283094481,5.925235146649856,5.345530295796287,5.6502605005883515,5.739394806569494,5.6472577008930305,5.626878628012499,5.6668556172099755,6.653856370518515,6.576577095510818
b3973,5.634829917785752,6.073141294387509,5.99518573248801,6.080622644952888,6.006245487250187,5.952664579053304,5.988058852784372,6.031047092702599,6.02862779291308,5.9286260976911205,5.929948449587599,6.001223491814317,6.068893913754824,5.603971968237064,5.147759957269232,5.562198468095948,5.671848772918734,5.687997027424579,5.6862453176246595,5.753330082503734,5.808213866094486,5.28801833127473,5.4328371613758595
b3974,6.364740333500604,6.4424206933696,6.533957565445711,6.343579141866285,6.609471341431444,6.392694294278534,6.2611572504421,6.325133587035386,6.485438066978569,6.415627144033689,6.503116755980063,6.401760303952427,6.490916657742923,6.717488418252776,5.199322105501382,2.986638189669223,2.8538351269059214,2.6717657227149596,2.7176648885521653,2.844232805419608,2.6825287694281625,3.8513171068640464,3.5619059446701673
