Geneid,PD_131_R16_S1_1,PD_131_R5_S1_1,PD_131_R6_S1_1,PD_131_R7_S1_1,PD_131_R8_S1_1,PD_131_R8_S2_1,PD_131_R9_S1_1,PD_131_R9_S2_1,PD_132_R10_S1_1,PD_132_R10_S2_1,PD_132_R11_S1_1,PD_132_R11_S2_1,PD_132_R12_S1_1,PD_132_R12_S2_1,PD_132_R13_S1_1,PD_132_R13_S2_1,PD_132_R5_S1_1,PD_132_R6_S1_1,PD_132_R7_S1_1,PD_132_R8_S1_1,PD_132_R8_S2_1,PD_132_R9_S1_1,PD_132_R9_S2_1
b3894,7.9255644564433085,7.015616984373697,6.863922810617049,6.996325981770477,7.168296767400022,7.234419809705259,6.993669356604354,7.234791817522818,8.141784300661001,8.6133290498739,8.488116998699876,8.570200136102185,8.500637429740523,8.33850357144941,8.163254972638343,8.025013345074512,8.085673394741347,8.160709967379452,8.285509800665682,8.1923888293157,8.507534860304494,8.18707448710021,8.532406033577729
b3895,5.984584211254262,6.226898026166765,6.223179897208675,6.2947252633641035,6.3772651526334325,6.108767753480212,6.426866650370993,6.2344519903846365,6.510816843243965,5.836134781341866,3.240475873101462,3.161182712333332,3.9325888464715284,4.196223862320212,4.414578201940055,2.9209933854518195,6.2532581454621745,6.302381547975599,6.189891215533861,6.493618199300095,5.8678505684533135,6.348007385428579,5.616312643308167
b3896,1.6091729890459592,1.570147229642683,1.9540744243814336,1.5926173179002405,1.3534576431728724,1.0968063895013591,1.8329495349211624,1.2855030422512073,2.17355944650264,0.757736617956186,1.948774145880522,2.1305933460474797,2.338310922471871,2.0561289543262573,2.8256231116923014,2.503994325301733,1.1626282302876256,1.3587460932764153,1.439412321821162,2.00581248785539,0.1567373591461023,1.8077089811408777,0.6506280718367392
b3897,3.686181690013138,1.9502852433266498,2.19527861719415,2.182977388543397,2.0716551165469226,1.8160396232634224,2.3528258085343245,2.1255208783210824,2.9492774517953673,3.2237575307100066,3.542292714255314,3.4855144761435186,3.5036837467163537,3.3074219919396,3.2258424269789483,2.8618031781017694,2.9350212197543724,3.1872103686932802,3.1175429342210554,3.0894839369626057,3.1869837798139784,2.9497501846110823,3.419879674056512
b3898,3.22127006421508,2.9950707630002404,3.2349086867877954,3.1176697461966905,2.8528032652200883,2.5291073299617968,3.200092053069803,2.5969275416893627,4.508569672393466,5.0598360593252325,2.3869769348233554,2.64049397741927,2.0396047856939066,2.9538193383212468,2.4239777516472216,2.6132948837767023,4.479289677944523,4.704263915581205,4.601221303606738,4.363045524109943,4.861095381897568,4.749064737189187,4.788302291084081
b3899,1.6750643275026535,1.497162467602341,1.597096113407324,1.95071558020886,1.4132453312038415,1.44650257590412,1.3092583946887324,1.5658211517590153,2.8915660919891484,2.3748681110777143,2.856191282004599,2.3820442707606677,2.9790703954934017,3.402147248625189,2.8153453574176233,3.0961903730033287,2.9080508678678134,2.9509563924521554,2.922501067089482,2.73697336542455,2.80929539351407,3.034313158089139,2.8513116061171817
b3900,1.8338527862703753,1.18195681342636,1.313576199643305,1.6621094599473962,1.5583273576949894,1.4821035332219776,1.7208735612607593,1.6428100286330554,1.1276588875801314,1.0621409528083472,1.7015646570484033,1.09785596828076,2.3950095873080213,0.0,3.1451047755325283,2.8344054407038213,1.7119073442545285,2.028653942272908,1.1081088561934134,1.8765754334937617,1.393257714574621,1.654613799602788,1.2303421754548813
b3901,0.48996352403658583,3.186257954413917,3.7055629683671887,3.6637281479821437,3.6261556728631725,3.3085942207472936,3.6155495063914467,2.2974673650087536,4.155122988729357,3.0589789440058106,0.0,0.0,0.0,0.0,0.0,0.0,4.443746777374412,3.9874503596634114,3.9010199920725843,4.256711712730397,2.9146435018550982,4.708821618138444,3.1736885329705964
b3902,0.2071567636828607,5.235180172436195,5.3170715373800155,5.23696955414795,4.821932758092482,4.604235632565179,5.0982140862854886,4.826459177100529,5.309356246606275,2.5150327105990566,0.0,0.0,0.0,0.0,0.7727822755356397,0.735122424898303,5.092491490410874,5.067988574560783,4.9347595062090255,5.301801073456253,3.418891571972759,5.257356118755334,3.0004210137472325
b3903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
